text,sentiment
like good good like neutral bad bad bad like good like,neutral
terrible good terrible awesome good good good bad,positive
terrible terrible good terrible bad like like like terrible awesome bad awesome,neutral
neutral hate hate good hate hate bad like awesome,negative
neutral bad bad hate neutral good good awesome good neutral hate,negative
terrible neutral hate good like awesome terrible good awesome good terrible neutral hate like,neutral
hate neutral terrible bad like good good,neutral
bad hate neutral good hate bad hate good awesome neutral awesome,neutral
hate neutral bad neutral neutral bad like neutral like like like good,neutral
like bad terrible like bad bad awesome awesome neutral,neutral
like terrible bad like neutral hate hate hate,positive
bad hate good hate neutral awesome neutral good bad terrible like neutral,positive
like awesome awesome like awesome bad neutral bad bad like terrible terrible,negative
like terrible awesome terrible awesome neutral bad,positive
terrible awesome good hate good hate good bad like bad,neutral
awesome terrible good awesome awesome terrible awesome terrible neutral,neutral
hate good like like good like,neutral
hate neutral hate like neutral good neutral awesome bad awesome good like,neutral
neutral terrible hate bad terrible good hate like neutral hate,neutral
terrible terrible bad bad neutral hate,positive
terrible hate terrible good terrible neutral awesome good good,negative
hate hate neutral bad good,positive
terrible good good like awesome hate good hate terrible hate bad bad like awesome,neutral
bad neutral terrible hate terrible awesome bad terrible hate like,neutral
bad like neutral awesome like like neutral awesome terrible awesome good bad bad,positive
neutral good terrible terrible bad,neutral
bad good good like like good bad good good hate neutral good terrible bad,negative
like awesome bad terrible bad like terrible,neutral
awesome bad hate awesome hate awesome bad good good like awesome,negative
awesome awesome awesome hate like good like like,neutral
good good awesome like neutral hate hate good bad bad bad terrible awesome,positive
awesome bad neutral awesome bad hate good,negative
hate hate hate terrible good good like terrible hate,positive
good hate hate bad bad awesome awesome,negative
bad hate awesome good bad awesome good awesome neutral hate hate,negative
neutral awesome like like hate terrible like like awesome,positive
bad neutral bad good terrible like terrible good like neutral good good terrible,negative
terrible hate terrible bad good terrible good hate bad good terrible,positive
like hate bad awesome good terrible,positive
terrible terrible good terrible good awesome like terrible,neutral
terrible neutral neutral bad like like neutral bad neutral awesome bad like like,negative
awesome neutral hate good good awesome,neutral
terrible good good terrible bad terrible neutral bad neutral good bad neutral neutral bad,negative
hate terrible like neutral terrible hate like terrible good like hate terrible neutral,neutral
good bad neutral good good like terrible bad neutral neutral terrible bad like neutral,positive
like like hate neutral terrible awesome neutral hate good,positive
like awesome hate neutral good good,negative
hate bad like neutral bad like awesome terrible,neutral
awesome terrible good good good like bad terrible good hate neutral,neutral
terrible bad awesome bad good neutral neutral hate hate good neutral bad,neutral
bad like good neutral hate terrible hate,negative
terrible like bad bad hate,positive
hate hate bad awesome good bad like neutral,negative
hate like hate like hate bad,negative
bad hate like good awesome hate good hate awesome bad bad hate,negative
neutral neutral hate hate hate bad bad good,neutral
bad awesome neutral neutral hate good,negative
neutral like terrible awesome like hate terrible neutral good good,negative
bad terrible neutral good good terrible awesome neutral like hate,negative
awesome terrible terrible good awesome terrible bad neutral good like awesome good terrible hate,neutral
like like like like like bad neutral awesome,positive
like neutral terrible neutral like hate good like neutral terrible,negative
like awesome neutral awesome like neutral,neutral
bad bad awesome like awesome like like bad terrible terrible neutral awesome terrible hate,positive
neutral neutral bad awesome hate terrible,neutral
like neutral awesome awesome awesome like bad terrible awesome hate hate like bad like,positive
neutral terrible like like terrible neutral good hate,positive
like neutral bad hate bad bad good good bad awesome terrible hate,positive
awesome awesome like terrible bad like like awesome awesome awesome bad,positive
like like good hate hate hate good hate awesome bad bad hate like,neutral
awesome good terrible bad hate good awesome bad hate awesome like terrible,neutral
terrible neutral hate awesome terrible hate like terrible awesome,neutral
awesome bad like hate awesome awesome,negative
hate bad hate like neutral hate hate terrible awesome,neutral
bad neutral awesome good like neutral bad neutral neutral neutral terrible good,positive
bad bad awesome like bad like bad good awesome awesome neutral terrible awesome awesome,positive
bad hate awesome awesome hate terrible like good hate hate terrible awesome awesome,positive
neutral neutral hate awesome hate hate awesome terrible like like terrible hate terrible,positive
awesome bad neutral awesome awesome,positive
awesome neutral like like hate awesome like bad hate awesome bad terrible terrible,positive
awesome terrible terrible like good good like awesome bad hate awesome,positive
good neutral awesome neutral bad awesome neutral neutral hate awesome neutral hate hate,negative
neutral hate good awesome good like terrible good neutral bad like good,neutral
good hate good bad bad,positive
terrible bad bad bad awesome like good terrible bad awesome like neutral,negative
bad terrible terrible like like good hate hate bad neutral good terrible,positive
neutral terrible like awesome awesome like bad,positive
terrible like hate like bad,positive
like hate neutral hate like terrible hate good hate terrible hate good,negative
terrible awesome like neutral good terrible like,negative
good hate awesome hate awesome good awesome,negative
like hate awesome like bad,negative
bad like terrible like neutral terrible hate terrible hate,negative
awesome awesome hate like terrible neutral neutral hate bad hate good neutral awesome bad,negative
terrible terrible like awesome neutral good awesome hate neutral bad awesome,positive
neutral hate neutral neutral neutral terrible like neutral terrible good terrible bad good bad,neutral
awesome awesome terrible hate bad like awesome like like awesome awesome hate good,positive
neutral bad awesome like bad neutral like terrible neutral awesome terrible,neutral
neutral awesome like terrible neutral neutral like awesome neutral neutral neutral bad good,neutral
bad neutral good like terrible hate like bad bad bad like awesome,negative
like terrible hate terrible terrible neutral,positive
hate bad neutral bad neutral,positive
neutral good like terrible bad neutral good good terrible neutral like,positive
like hate hate awesome good hate good terrible neutral awesome awesome,negative
neutral bad good neutral hate awesome good hate good awesome awesome good,neutral
like like good bad bad hate terrible neutral good,positive
good terrible hate awesome terrible terrible hate,neutral
bad hate terrible awesome awesome awesome neutral hate terrible awesome neutral terrible,neutral
good terrible like good hate bad like bad neutral like,positive
bad bad bad terrible good bad good,negative
awesome like terrible awesome neutral,positive
bad neutral like neutral like hate awesome,positive
like bad neutral hate hate like terrible like hate,positive
awesome good terrible bad like bad neutral,positive
good good bad hate neutral,neutral
like hate terrible neutral awesome good awesome like neutral,neutral
awesome neutral terrible terrible awesome awesome good terrible good awesome like neutral terrible neutral,positive
good bad like hate hate terrible terrible good hate like hate,negative
terrible good hate hate bad awesome terrible like awesome neutral bad,neutral
awesome like hate awesome good awesome neutral awesome neutral neutral like good hate,positive
neutral awesome like awesome neutral like awesome hate hate terrible good awesome good neutral,negative
neutral good hate awesome hate terrible hate good like hate terrible awesome awesome good,positive
terrible neutral terrible hate awesome like awesome,positive
bad neutral terrible bad neutral awesome like awesome good good like,neutral
hate bad like bad neutral,neutral
good terrible awesome good bad hate good awesome,positive
like hate bad awesome like neutral terrible like,negative
awesome hate awesome awesome bad awesome terrible bad awesome,positive
terrible terrible like bad hate good neutral hate hate hate awesome,negative
hate terrible neutral hate good neutral like neutral hate terrible terrible,neutral
awesome hate bad awesome terrible awesome neutral neutral,neutral
hate terrible awesome awesome neutral hate bad like bad terrible awesome,positive
hate hate awesome good neutral like awesome,neutral
hate awesome awesome like hate hate like bad awesome good,positive
terrible terrible neutral hate good hate,negative
good terrible awesome good like bad awesome hate like bad good awesome hate neutral,negative
terrible like awesome like good hate neutral hate like hate terrible awesome neutral,neutral
like hate awesome hate terrible good terrible good bad,neutral
like neutral bad like good awesome good hate like like,positive
awesome bad like neutral good good neutral hate,positive
neutral neutral neutral awesome bad bad terrible awesome terrible like hate bad bad bad,positive
terrible hate awesome terrible like bad awesome terrible bad bad awesome,neutral
neutral awesome neutral like good hate awesome neutral like terrible bad good awesome,negative
terrible neutral like awesome like neutral awesome hate neutral bad awesome,negative
good bad awesome terrible neutral,neutral
neutral like neutral good hate,neutral
awesome neutral good terrible hate like hate like good terrible like awesome hate,negative
hate hate bad terrible hate neutral bad like bad terrible neutral like hate,neutral
hate like like hate bad like good like,neutral
good neutral hate awesome good terrible neutral like bad good neutral neutral like,negative
bad bad bad hate terrible neutral terrible,neutral
neutral hate bad neutral hate awesome hate neutral like hate neutral,positive
awesome good bad hate bad hate like like like awesome,neutral
neutral good hate awesome good neutral terrible good awesome neutral like like,neutral
neutral terrible awesome hate like neutral good like bad awesome good terrible terrible,negative
terrible bad like good like hate awesome like neutral,neutral
awesome good bad good good,negative
awesome good good bad terrible bad awesome,negative
neutral like like like terrible awesome terrible like like bad awesome like good hate,negative
terrible awesome neutral good like neutral bad awesome awesome bad hate neutral,positive
like neutral terrible like neutral good awesome neutral bad good,negative
good like bad like like terrible good good hate neutral bad bad,neutral
bad good hate hate terrible bad terrible bad hate hate bad neutral hate,positive
hate terrible good neutral hate bad bad terrible,negative
hate bad good like hate,positive
bad good neutral hate hate,positive
terrible neutral good bad neutral good bad like awesome terrible good like good awesome,negative
hate neutral terrible terrible good awesome terrible bad,neutral
good like hate hate like terrible neutral awesome like good good,negative
hate awesome awesome like good awesome,neutral
awesome good good neutral terrible bad good,positive
neutral terrible like terrible terrible,neutral
neutral awesome terrible terrible neutral awesome terrible terrible awesome,positive
hate like good hate like,neutral
hate terrible like hate bad awesome awesome bad awesome neutral hate awesome,negative
awesome like good neutral awesome,negative
like neutral neutral bad like,negative
good good hate good good awesome,positive
like like neutral hate bad terrible,positive
terrible terrible terrible neutral like good awesome neutral hate like,negative
hate like good neutral terrible neutral neutral good terrible terrible bad,positive
like awesome bad hate good neutral hate terrible neutral,positive
hate neutral terrible bad hate,negative
hate terrible hate hate terrible,neutral
like like terrible good terrible like hate,neutral
neutral good bad neutral like hate,negative
neutral neutral good bad hate bad terrible like awesome,positive
bad like like good good like terrible bad awesome awesome awesome neutral bad neutral,negative
like neutral hate terrible terrible good good bad bad hate,neutral
good like good neutral awesome like awesome awesome terrible awesome awesome,negative
bad hate terrible good neutral awesome good neutral,neutral
like terrible awesome terrible like neutral good bad awesome terrible good,positive
bad neutral bad hate bad hate neutral neutral neutral good good awesome,neutral
awesome bad bad awesome terrible,neutral
bad terrible terrible hate like hate neutral good awesome hate,neutral
good awesome good awesome good hate neutral terrible awesome terrible awesome like,neutral
awesome neutral good awesome good neutral bad hate terrible,negative
hate like neutral good awesome hate good bad,negative
terrible awesome terrible good awesome hate,negative
like neutral bad neutral hate bad good terrible like good,neutral
terrible bad hate neutral neutral like hate like hate bad,positive
good bad neutral bad bad,neutral
bad hate hate like good bad hate like awesome awesome hate terrible hate,neutral
awesome like terrible like like terrible neutral hate like neutral,positive
awesome good awesome awesome like neutral hate,negative
terrible good neutral terrible good neutral awesome awesome,positive
good neutral hate neutral good like hate hate,positive
terrible terrible terrible awesome awesome terrible terrible,neutral
good awesome hate terrible like bad neutral terrible awesome terrible bad good awesome good,negative
like good terrible like bad good bad,neutral
awesome awesome terrible terrible terrible bad neutral,negative
neutral awesome awesome hate neutral like terrible good,neutral
like neutral good neutral good terrible like awesome neutral neutral like,neutral
terrible hate bad neutral good terrible like bad,negative
neutral like like like awesome bad terrible like good neutral terrible awesome like,negative
hate bad like like hate,neutral
like terrible good like like awesome terrible neutral good neutral neutral bad,positive
neutral hate awesome bad bad bad bad good neutral hate hate,positive
terrible hate terrible hate like terrible,positive
like neutral hate terrible bad terrible awesome bad bad bad hate like,neutral
hate bad like awesome good,negative
neutral like like bad awesome terrible neutral hate like hate awesome bad terrible,positive
neutral hate hate awesome hate bad neutral like terrible awesome awesome hate neutral,negative
terrible terrible awesome bad hate bad,neutral
bad hate neutral good like awesome hate neutral terrible good like,neutral
hate good neutral good hate bad neutral awesome terrible bad hate awesome good bad,negative
neutral good awesome good awesome terrible neutral,positive
awesome good neutral bad good neutral good hate like like neutral,positive
bad good neutral hate awesome like hate bad hate like awesome awesome terrible good,positive
good neutral bad hate bad terrible like terrible terrible awesome good hate neutral,positive
neutral good good bad awesome like hate terrible,negative
good good hate awesome terrible,neutral
good like terrible terrible bad like,positive
neutral awesome good terrible neutral,positive
terrible awesome bad like like good terrible neutral good,neutral
terrible terrible hate terrible terrible good awesome hate awesome,positive
like awesome neutral neutral like good neutral hate good neutral bad,neutral
like like good hate terrible like hate neutral bad good neutral terrible neutral,neutral
bad hate hate like awesome like awesome like bad hate bad good like,negative
good neutral bad good hate bad good,negative
neutral terrible awesome hate terrible awesome neutral,positive
hate like bad neutral neutral hate hate,positive
hate like neutral neutral good hate neutral awesome,negative
like awesome awesome neutral bad awesome like awesome neutral hate terrible neutral,positive
like awesome good awesome terrible hate bad terrible neutral neutral,positive
good neutral like neutral neutral awesome terrible like awesome bad like awesome,negative
awesome good like hate neutral,neutral
awesome neutral like hate good good like like awesome neutral terrible hate,neutral
like bad good bad hate terrible like hate,negative
good bad good bad hate,neutral
neutral neutral awesome terrible good terrible bad like awesome neutral neutral awesome,positive
terrible bad terrible neutral awesome neutral like neutral,positive
good good like bad awesome terrible awesome terrible good neutral,negative
like awesome bad terrible neutral like awesome bad good bad hate good,negative
bad like awesome good hate like hate neutral,neutral
neutral like good terrible terrible neutral neutral,positive
like like like like bad hate neutral terrible bad good bad hate bad,positive
hate awesome good neutral terrible terrible neutral,negative
hate terrible bad terrible good good neutral awesome like like awesome terrible awesome,negative
hate terrible good bad neutral like,positive
awesome awesome like terrible neutral bad,neutral
like terrible bad hate bad awesome,neutral
hate good hate good terrible bad neutral bad bad neutral,neutral
bad neutral terrible neutral hate good neutral,positive
like terrible neutral bad like neutral terrible terrible good terrible like bad terrible,neutral
bad bad like terrible like terrible neutral hate,neutral
good hate hate good good,positive
like hate terrible neutral like bad hate terrible,negative
terrible like good awesome like,neutral
neutral like neutral awesome bad hate hate like awesome,negative
awesome good like good bad awesome awesome awesome,negative
bad neutral terrible bad neutral hate like neutral like hate neutral awesome,positive
hate neutral terrible terrible good neutral bad awesome good neutral awesome bad,positive
good good neutral awesome hate terrible awesome bad hate bad hate,negative
terrible like neutral bad hate bad awesome,neutral
awesome awesome neutral awesome good,positive
awesome terrible awesome bad bad,neutral
neutral good good neutral awesome terrible hate,neutral
like awesome neutral terrible good hate good awesome bad neutral,neutral
neutral hate awesome neutral good awesome good terrible terrible bad neutral,neutral
neutral good awesome terrible awesome hate terrible neutral hate terrible,neutral
terrible good bad good awesome neutral hate neutral terrible neutral,positive
bad terrible terrible awesome terrible good good good bad like,negative
hate awesome terrible awesome bad terrible terrible,positive
neutral terrible neutral bad awesome terrible like hate neutral terrible,negative
terrible hate terrible terrible awesome like terrible neutral awesome hate good neutral,negative
like good awesome terrible neutral hate,neutral
hate like like good terrible awesome neutral like hate,neutral
terrible bad like good terrible,negative
bad terrible like like terrible,negative
bad hate like bad good terrible like good bad,positive
awesome neutral awesome bad awesome like bad,negative
terrible hate terrible awesome hate hate like like,positive
like bad terrible bad terrible neutral like,negative
terrible awesome neutral bad awesome,neutral
neutral terrible neutral like hate,neutral
like like hate like neutral terrible awesome bad bad,negative
terrible neutral bad neutral hate neutral like bad like like,negative
neutral awesome neutral terrible hate like neutral,negative
good terrible like terrible awesome awesome hate neutral hate hate bad neutral good,negative
like good neutral awesome like neutral like awesome bad,positive
hate terrible neutral terrible like neutral bad good terrible like terrible bad,positive
good like terrible bad like,positive
good good awesome neutral like awesome good like hate,positive
good terrible bad awesome like awesome awesome,neutral
bad hate neutral neutral neutral,neutral
good hate good like terrible bad terrible like,neutral
hate good bad awesome hate bad good hate awesome,negative
bad like hate neutral good good neutral terrible terrible good neutral,negative
awesome like terrible terrible awesome,positive
hate terrible awesome neutral bad hate good,negative
bad like awesome like neutral like,positive
good like neutral hate neutral terrible like hate bad bad terrible hate like,negative
hate awesome terrible neutral good awesome like good bad bad awesome neutral bad good,negative
awesome bad awesome hate neutral neutral neutral terrible like terrible,positive
neutral like neutral like bad good like good awesome neutral bad awesome like terrible,neutral
hate neutral like good like neutral neutral,neutral
bad bad bad awesome bad awesome like terrible neutral awesome like terrible,negative
hate terrible hate like hate bad hate bad like hate terrible hate,positive
terrible awesome terrible like neutral good,neutral
good good hate terrible terrible bad terrible terrible bad bad,negative
hate terrible awesome good like bad like terrible awesome good terrible,negative
hate good awesome bad terrible awesome,negative
terrible good terrible awesome like hate neutral like good awesome neutral hate good like,positive
terrible good good awesome neutral like,positive
terrible good good awesome good neutral awesome bad hate bad hate like like like,negative
neutral awesome awesome hate awesome,negative
good like like hate terrible bad like hate neutral good bad terrible,negative
terrible bad like bad hate,positive
hate good neutral awesome like like terrible awesome terrible awesome hate bad bad,negative
neutral bad neutral bad like hate good good hate like,negative
terrible hate good bad bad good good terrible good awesome terrible,neutral
like hate good bad like good awesome awesome bad terrible bad hate hate hate,positive
bad terrible neutral bad hate like terrible neutral terrible terrible hate,neutral
hate neutral bad neutral bad like terrible bad awesome neutral neutral good terrible terrible,neutral
bad like like awesome terrible awesome good,negative
like like awesome hate terrible neutral,neutral
awesome awesome bad neutral awesome bad hate terrible awesome bad hate bad neutral,neutral
bad hate awesome good terrible awesome awesome terrible terrible bad awesome bad,negative
bad neutral like good awesome hate neutral good terrible like hate bad good neutral,negative
like terrible terrible good hate good bad hate hate terrible like,neutral
terrible bad awesome bad hate neutral neutral good bad bad like good like,negative
bad like terrible like bad awesome bad terrible,negative
hate neutral awesome awesome terrible like neutral neutral,negative
neutral terrible awesome awesome good,neutral
awesome hate hate neutral bad neutral neutral awesome good terrible hate bad,neutral
bad good neutral terrible terrible terrible like,negative
neutral bad bad neutral bad awesome terrible hate bad awesome terrible,neutral
like neutral neutral hate hate awesome,neutral
like like awesome awesome bad like,negative
bad bad like terrible awesome bad terrible like good terrible good,positive
hate like good hate good awesome bad hate like bad,positive
like bad good bad terrible awesome neutral,positive
terrible like like terrible awesome like awesome good good terrible terrible awesome good,positive
terrible like neutral terrible neutral good terrible hate like like awesome hate bad good,positive
terrible bad bad bad terrible terrible neutral hate neutral neutral,negative
good neutral awesome awesome terrible bad like bad neutral like hate hate good like,neutral
hate good good awesome awesome awesome terrible awesome good like good like bad good,negative
hate awesome like hate neutral terrible hate good terrible good,positive
bad hate like terrible awesome,negative
good good like neutral terrible terrible like good,positive
hate neutral good bad terrible bad hate hate like hate awesome good neutral bad,neutral
bad terrible hate hate awesome like terrible neutral awesome hate,neutral
bad hate like like good terrible like neutral good good,negative
bad hate good neutral terrible hate terrible terrible awesome,negative
good like neutral hate awesome,negative
bad neutral terrible awesome awesome bad like terrible like awesome good hate,neutral
neutral hate bad like good good neutral bad awesome,neutral
hate like bad like awesome neutral neutral good good,positive
neutral awesome neutral hate neutral good bad good bad awesome awesome,neutral
terrible terrible awesome good good good neutral terrible,positive
terrible terrible hate neutral hate awesome good neutral awesome awesome,positive
like terrible bad terrible terrible bad like awesome,positive
bad neutral neutral neutral awesome bad good,positive
awesome neutral awesome neutral awesome hate good neutral neutral bad like,neutral
awesome terrible terrible bad awesome good bad neutral good awesome neutral hate,neutral
awesome hate hate neutral awesome neutral awesome hate,neutral
terrible bad neutral neutral terrible like,positive
awesome neutral bad awesome neutral neutral like like like awesome terrible hate bad neutral,negative
neutral hate hate awesome neutral good terrible,positive
terrible terrible bad like hate,neutral
good like awesome like bad awesome hate neutral hate like good hate,negative
like awesome bad like neutral bad neutral,neutral
bad like awesome hate awesome good awesome terrible awesome terrible awesome terrible terrible hate,neutral
awesome terrible good hate neutral like hate terrible terrible like good,positive
hate bad like like neutral bad like terrible good terrible like like like awesome,negative
hate awesome good good good neutral bad terrible like,neutral
terrible terrible like terrible bad awesome neutral awesome awesome hate like terrible like terrible,positive
neutral good awesome good neutral awesome good good hate,neutral
bad neutral neutral neutral awesome hate bad terrible awesome neutral awesome,positive
awesome like like awesome neutral good neutral good hate like good good hate,negative
like good like hate bad like bad terrible bad,neutral
bad neutral terrible awesome awesome,positive
hate awesome like bad bad like like awesome awesome good like terrible bad awesome,neutral
awesome awesome good like bad bad neutral hate like hate hate good terrible good,neutral
bad neutral neutral bad awesome,positive
neutral like hate awesome terrible like,negative
terrible awesome terrible awesome terrible good neutral neutral hate awesome,neutral
bad hate like like hate neutral terrible terrible good like bad neutral good,positive
neutral good bad neutral like bad terrible awesome awesome terrible bad terrible,negative
awesome bad awesome like terrible like like bad terrible,positive
awesome neutral bad bad neutral,negative
terrible good hate neutral good awesome bad bad hate awesome terrible,neutral
like awesome awesome like awesome awesome like hate awesome,negative
bad good terrible good hate hate bad neutral good neutral,positive
terrible neutral bad hate awesome terrible like hate hate awesome terrible,neutral
good terrible good neutral hate terrible hate,negative
terrible hate hate good hate like awesome terrible bad awesome good like hate like,positive
neutral hate good awesome neutral neutral hate,positive
awesome hate good hate hate bad bad hate like,neutral
like neutral hate like terrible like awesome bad terrible bad,positive
hate bad hate good terrible neutral terrible neutral terrible terrible bad neutral like,negative
neutral terrible neutral hate terrible like hate good bad,negative
good neutral hate like bad,neutral
hate bad bad bad like neutral hate bad,neutral
awesome awesome bad terrible like neutral like awesome awesome,negative
good like hate hate good awesome terrible like neutral like neutral awesome awesome neutral,neutral
good hate hate hate like good like awesome like like like neutral hate good,neutral
awesome bad awesome hate bad awesome neutral neutral hate,negative
neutral terrible terrible bad terrible hate awesome hate neutral like hate,positive
good good like hate hate awesome good good,positive
awesome awesome good awesome bad,neutral
bad like neutral bad hate neutral good like neutral,negative
good neutral like like bad good awesome like neutral like like,positive
awesome like good like good good bad awesome good bad terrible bad terrible like,negative
good good like neutral hate good hate awesome like bad awesome good bad awesome,positive
like hate good good neutral neutral neutral bad awesome hate,positive
like like bad good terrible terrible good terrible like,positive
awesome neutral like bad like like bad awesome,neutral
like awesome hate bad good good,positive
hate good terrible like awesome neutral awesome neutral,positive
bad neutral like good bad terrible terrible terrible like terrible neutral hate like good,neutral
neutral bad terrible terrible terrible bad like awesome neutral like good hate hate bad,negative
awesome good bad awesome like terrible good,neutral
good neutral neutral bad awesome hate hate terrible awesome neutral terrible like bad hate,negative
hate good good terrible good,positive
neutral bad good good hate awesome terrible neutral like like terrible hate,negative
awesome like awesome good like terrible terrible terrible bad,negative
good neutral good terrible bad hate bad terrible,negative
awesome terrible like hate hate like like like good neutral like awesome,neutral
hate bad good bad good awesome good awesome terrible terrible good,negative
like like like like bad good,positive
like bad like good bad,negative
neutral terrible terrible hate hate like neutral bad,negative
bad like hate hate neutral like good hate good neutral hate awesome,negative
terrible good neutral like terrible like,positive
awesome awesome terrible neutral good awesome hate,neutral
bad neutral bad neutral hate,positive
terrible like like good bad,neutral
terrible good good hate hate good bad,positive
awesome neutral awesome bad bad hate good terrible hate,neutral
like like awesome bad neutral bad awesome,neutral
neutral neutral hate good terrible,negative
good terrible like good bad,positive
hate terrible good awesome good awesome hate neutral hate hate neutral neutral,positive
terrible awesome good neutral bad neutral terrible hate neutral like terrible bad awesome neutral,neutral
awesome hate hate bad like terrible,positive
bad good awesome good bad terrible neutral,neutral
hate like good neutral good hate,neutral
awesome hate like like neutral good bad,neutral
bad awesome awesome good bad like neutral good good bad hate,neutral
awesome like neutral awesome like,positive
terrible good terrible bad like hate awesome good terrible terrible good awesome like bad,positive
neutral neutral hate neutral hate awesome like hate like neutral neutral awesome,negative
bad good bad bad hate hate terrible good bad good bad awesome awesome neutral,negative
good terrible neutral hate bad awesome neutral awesome neutral hate good good bad hate,neutral
neutral hate like like terrible good bad hate hate neutral bad good like bad,negative
awesome terrible good like neutral neutral,positive
good awesome hate awesome terrible like terrible,positive
good awesome good hate hate bad good good good hate hate bad bad,positive
hate awesome neutral like like like good terrible terrible neutral hate,positive
good good bad like awesome hate bad good,negative
good good awesome good bad terrible awesome hate like awesome awesome good awesome like,negative
bad neutral bad bad neutral neutral awesome bad good,neutral
terrible terrible bad like neutral awesome,negative
terrible awesome good good neutral awesome bad awesome bad like hate terrible,positive
like hate terrible hate good awesome hate like,negative
awesome terrible hate awesome neutral terrible terrible neutral awesome neutral bad good neutral,neutral
bad good hate hate neutral good hate awesome terrible,negative
hate terrible bad bad good bad like bad neutral terrible hate hate like,positive
hate bad terrible hate hate awesome neutral hate,positive
bad bad terrible neutral hate like like neutral terrible good like like neutral terrible,neutral
bad terrible bad hate hate awesome terrible neutral bad,negative
good good good bad terrible bad good terrible awesome good neutral terrible bad,positive
neutral like bad hate hate hate neutral good good bad terrible like,positive
hate good hate terrible hate neutral good,negative
like like awesome terrible good,negative
neutral neutral bad bad like awesome hate,neutral
awesome like neutral bad like terrible like terrible,negative
bad like terrible hate bad awesome,negative
like like neutral bad bad,neutral
good like terrible awesome hate hate terrible good bad terrible neutral,neutral
bad like terrible good awesome bad neutral like good bad neutral neutral,positive
like good hate like like like like neutral awesome good neutral,positive
bad like good neutral neutral hate good like good,positive
awesome awesome like awesome bad,negative
awesome awesome neutral terrible awesome good hate awesome hate hate terrible,neutral
hate like bad bad awesome good hate hate good neutral good,negative
neutral good good neutral bad awesome bad like good terrible good neutral terrible,neutral
awesome like good awesome like bad terrible,negative
