text,sentiment
bad good good neutral bad bad awesome like terrible like like terrible neutral,neutral
neutral neutral bad good good,negative
terrible terrible hate awesome bad,positive
neutral good awesome good neutral hate like like,neutral
awesome bad good good bad bad like neutral good awesome hate good neutral,negative
awesome awesome like neutral good like terrible awesome bad neutral,negative
neutral bad awesome good neutral awesome awesome,negative
bad hate neutral terrible good,positive
hate like like good good like neutral hate,neutral
awesome hate terrible bad terrible good hate awesome hate terrible awesome terrible like,negative
terrible bad awesome neutral good awesome hate,neutral
good terrible terrible terrible hate terrible like terrible bad good hate awesome bad,positive
bad hate bad bad good awesome good like awesome bad hate,neutral
bad hate terrible neutral neutral like hate good,positive
awesome terrible awesome terrible neutral hate neutral,neutral
awesome hate good hate like terrible terrible terrible hate awesome good awesome bad bad,neutral
terrible terrible hate good good terrible hate good hate,negative
hate terrible neutral awesome neutral awesome like awesome terrible,neutral
awesome good bad neutral awesome bad terrible,neutral
like like awesome good awesome neutral like bad good like awesome neutral neutral,positive
neutral hate hate neutral neutral neutral hate awesome,neutral
like good hate bad bad neutral like awesome hate,negative
neutral like awesome terrible like good bad awesome,positive
hate awesome like awesome hate terrible hate neutral hate,positive
terrible hate bad good neutral like terrible awesome bad hate hate,neutral
terrible good bad bad hate bad hate good bad good awesome good neutral,neutral
bad neutral neutral hate awesome terrible awesome like good like good,positive
neutral awesome terrible awesome bad hate awesome terrible terrible,negative
neutral bad hate neutral like hate like good neutral good awesome good bad hate,neutral
hate bad hate bad like bad like bad neutral like awesome terrible good hate,neutral
good awesome bad like bad terrible hate good bad neutral terrible,negative
like like like neutral awesome awesome hate neutral awesome neutral bad awesome neutral like,neutral
hate terrible awesome terrible good good terrible like hate,negative
terrible like terrible terrible neutral neutral like,positive
awesome good neutral neutral like neutral hate neutral neutral like like,neutral
neutral bad bad terrible hate bad,positive
hate hate hate hate terrible awesome like neutral like bad like good like,negative
neutral neutral awesome awesome awesome like good terrible like terrible hate bad neutral like,neutral
bad like terrible like hate awesome like neutral terrible neutral hate bad hate like,neutral
bad neutral good awesome bad,neutral
neutral like hate terrible hate bad like neutral like good,positive
neutral bad like hate neutral awesome hate neutral neutral neutral terrible,negative
awesome hate good awesome good hate like terrible terrible terrible good awesome,positive
terrible good hate like awesome terrible neutral awesome good hate hate bad bad bad,negative
awesome terrible awesome bad neutral hate like bad hate good awesome neutral like,positive
neutral like good good awesome neutral,positive
hate hate bad terrible hate bad awesome hate hate hate good bad terrible awesome,neutral
awesome awesome awesome awesome awesome good,positive
terrible bad like neutral good neutral hate hate terrible,positive
good like good like like bad bad like neutral,negative
bad good awesome terrible terrible neutral bad good hate good,negative
neutral awesome like terrible terrible terrible neutral,negative
like bad neutral awesome neutral hate bad bad hate awesome good bad,positive
like bad bad like good,neutral
terrible bad good neutral like like hate good awesome like,negative
hate terrible terrible good terrible good like good,neutral
hate good good like good,negative
awesome awesome good terrible neutral awesome like bad bad like like,neutral
good neutral awesome like good like terrible neutral terrible terrible like bad awesome,positive
terrible like terrible good neutral good hate good,negative
bad terrible bad hate neutral hate terrible bad,negative
like awesome neutral bad good terrible awesome bad like awesome,negative
bad good good like good good hate,neutral
like awesome bad good hate terrible good like like good,negative
like bad awesome neutral neutral awesome good good hate bad hate,positive
hate neutral neutral hate like neutral awesome like good good hate hate good good,positive
like like bad neutral neutral awesome terrible neutral like good neutral hate neutral bad,positive
awesome awesome awesome neutral hate awesome like,negative
hate awesome like hate bad good bad like like good hate,positive
good awesome terrible awesome hate terrible like,negative
bad terrible awesome hate neutral terrible,positive
hate like hate like bad awesome awesome good awesome awesome good good neutral like,negative
good like hate like terrible hate like terrible,neutral
terrible bad like hate neutral terrible terrible like like terrible good awesome,neutral
like bad awesome neutral like like like awesome bad hate hate terrible terrible,positive
good like bad terrible hate awesome hate awesome hate bad good,negative
neutral bad neutral neutral good,neutral
bad terrible like awesome awesome hate bad,positive
awesome awesome hate terrible awesome good hate awesome awesome neutral good awesome like,neutral
good good awesome awesome good,neutral
terrible good hate good hate terrible terrible like neutral terrible terrible bad like,neutral
awesome neutral neutral hate good hate bad hate awesome neutral terrible hate,neutral
terrible awesome like like neutral,neutral
awesome good good hate like bad good neutral neutral hate,neutral
hate neutral terrible terrible neutral like good good bad,negative
bad hate like like like awesome good neutral terrible bad,positive
good hate awesome bad awesome hate hate bad like neutral good hate awesome good,neutral
hate like terrible good hate awesome awesome like terrible,neutral
bad awesome good terrible like good terrible awesome hate terrible,negative
terrible hate bad like terrible bad like hate bad,positive
awesome like terrible terrible neutral terrible awesome awesome terrible,neutral
hate bad neutral awesome neutral neutral awesome hate,positive
bad awesome terrible like like terrible neutral,neutral
terrible hate neutral like like terrible like,positive
bad bad terrible like neutral like neutral like,positive
like like bad terrible terrible like like neutral like good hate neutral terrible,negative
terrible terrible like like awesome like,neutral
hate terrible neutral hate awesome hate good terrible good good awesome bad good,neutral
good bad neutral hate hate,positive
neutral like neutral bad hate,positive
like hate neutral bad hate terrible good neutral hate,negative
good terrible hate like like terrible hate bad like like,neutral
awesome bad terrible hate hate hate like neutral like like,positive
awesome awesome awesome hate like neutral terrible,positive
good like neutral bad terrible hate hate hate hate awesome hate,positive
like like like like neutral hate terrible terrible like terrible bad hate like,positive
neutral awesome bad like good bad bad like terrible good awesome good awesome neutral,neutral
neutral bad bad terrible hate neutral good neutral awesome like bad good,positive
neutral terrible good hate like terrible hate like neutral awesome,neutral
terrible neutral good hate like neutral terrible bad bad terrible good hate,neutral
bad awesome terrible terrible awesome good neutral bad bad,neutral
neutral neutral neutral neutral bad hate terrible terrible awesome terrible hate hate,neutral
good good like neutral awesome bad like terrible terrible bad good like neutral awesome,positive
awesome neutral terrible like neutral good terrible hate,negative
terrible hate terrible awesome awesome good neutral like bad neutral terrible good good bad,neutral
terrible good like good bad like like hate bad hate like awesome,positive
bad terrible hate like like hate awesome like hate good like like bad good,negative
like neutral good good good good,positive
hate neutral terrible good terrible hate bad neutral awesome,negative
awesome like awesome awesome neutral good awesome like good terrible good like like,neutral
good hate like terrible good like hate good,negative
terrible good neutral hate like neutral terrible good neutral hate,negative
awesome awesome hate like good,negative
bad terrible bad bad like awesome hate hate hate terrible neutral like bad,negative
like hate hate like like,negative
good terrible hate terrible bad good good good terrible,neutral
awesome terrible terrible good neutral bad like like,neutral
neutral bad awesome like hate terrible bad,positive
bad bad terrible hate neutral bad good bad like hate,neutral
hate good hate hate terrible awesome,neutral
terrible good neutral like good neutral good,positive
like terrible awesome neutral neutral bad like like bad,positive
neutral terrible good bad neutral awesome awesome neutral terrible like neutral like terrible,positive
terrible terrible neutral hate neutral awesome,positive
good neutral bad hate bad like like like awesome neutral hate neutral bad like,neutral
neutral awesome awesome awesome neutral hate neutral awesome terrible good bad like,neutral
good hate neutral hate hate bad,neutral
bad neutral like like good like good good hate,neutral
like good hate terrible terrible awesome hate terrible bad good terrible,negative
terrible terrible awesome like hate bad neutral awesome bad hate terrible like,negative
bad awesome terrible terrible good,negative
neutral terrible good like bad hate hate terrible like bad,neutral
bad awesome bad bad terrible,neutral
like hate bad like like awesome,negative
good bad hate awesome bad,positive
neutral neutral bad good like bad terrible hate neutral,negative
awesome awesome good good like neutral good like terrible like hate neutral hate like,negative
terrible terrible terrible bad awesome like awesome neutral terrible like hate good terrible,negative
awesome bad terrible awesome neutral hate hate neutral awesome hate,negative
terrible good terrible bad awesome,positive
bad good terrible like neutral,positive
bad bad bad neutral terrible like,positive
like bad awesome hate neutral like good awesome like awesome awesome bad terrible,positive
like hate awesome good bad good bad,neutral
terrible bad bad like terrible,positive
terrible bad good bad neutral bad terrible awesome terrible,neutral
like good like like like hate neutral good bad awesome terrible,negative
hate awesome bad bad hate awesome terrible bad hate terrible,positive
terrible like terrible neutral bad,neutral
like neutral awesome terrible terrible good bad awesome awesome,positive
good good bad terrible hate terrible like awesome hate,positive
terrible good bad awesome terrible terrible good hate terrible terrible,positive
good awesome like bad terrible terrible hate,positive
hate like like awesome terrible awesome neutral hate good,neutral
terrible awesome bad hate awesome hate hate awesome neutral terrible hate,neutral
hate hate like terrible good awesome bad neutral awesome,positive
hate good neutral terrible terrible awesome neutral bad good,neutral
like hate good terrible terrible good terrible good awesome,neutral
bad like hate neutral awesome neutral good bad awesome like terrible neutral neutral hate,neutral
awesome terrible neutral terrible neutral like awesome hate bad awesome terrible hate terrible awesome,positive
neutral terrible terrible awesome neutral neutral terrible,negative
hate like awesome like bad,neutral
good like bad awesome hate like bad good bad,neutral
awesome hate neutral hate terrible terrible like like like good bad awesome like,positive
hate good hate bad awesome,neutral
awesome good good neutral bad neutral good,neutral
good like awesome awesome terrible like terrible neutral,neutral
terrible good hate hate bad,neutral
awesome awesome good bad hate,neutral
hate terrible neutral bad good hate terrible terrible terrible like bad terrible,positive
like good neutral bad like good,positive
good neutral hate awesome neutral like awesome awesome terrible bad terrible good,neutral
like good good terrible neutral like hate terrible terrible neutral neutral,negative
bad terrible bad awesome awesome terrible good neutral bad awesome terrible good terrible good,neutral
neutral neutral good hate terrible neutral terrible hate hate terrible neutral like awesome awesome,neutral
awesome hate bad hate neutral hate,negative
like awesome terrible hate good awesome good neutral good awesome,neutral
hate bad like like bad hate neutral awesome neutral terrible,neutral
good like hate neutral bad neutral good,negative
like like hate neutral good terrible,positive
awesome neutral neutral bad terrible,negative
bad like like bad awesome like bad bad like bad,negative
bad bad bad hate bad hate terrible neutral bad,positive
good good like like awesome terrible good hate hate terrible good hate awesome,negative
terrible neutral awesome terrible hate,negative
awesome bad hate terrible neutral awesome bad hate terrible bad good,neutral
hate awesome awesome terrible good terrible neutral awesome hate,neutral
hate bad awesome good like terrible awesome neutral like,positive
good like bad awesome terrible good,negative
neutral terrible hate neutral bad terrible neutral,positive
neutral awesome terrible neutral neutral bad awesome awesome bad awesome like,negative
neutral hate awesome neutral awesome bad terrible bad terrible like,positive
hate good like neutral hate bad,neutral
awesome hate awesome bad bad hate like bad awesome hate,positive
bad awesome awesome bad hate like,neutral
terrible like neutral hate awesome neutral,negative
terrible hate terrible good awesome good,neutral
bad good bad hate neutral awesome hate,neutral
good awesome like neutral neutral neutral,negative
terrible terrible hate neutral neutral good awesome good,negative
hate like terrible bad terrible terrible like like terrible bad hate neutral neutral,negative
like terrible awesome hate like awesome good awesome terrible neutral,negative
like bad hate bad like,negative
awesome like terrible terrible awesome hate good good bad neutral bad neutral,negative
like neutral like neutral terrible like awesome neutral awesome hate hate,negative
like terrible terrible awesome awesome bad bad hate good bad like bad like neutral,neutral
like like good bad bad awesome good,positive
good awesome terrible good good,negative
terrible hate good good neutral terrible bad good like,negative
neutral bad bad like neutral awesome like bad,positive
terrible hate bad good good like neutral hate neutral hate awesome awesome hate terrible,negative
terrible awesome bad like terrible bad terrible terrible awesome like like like,neutral
awesome terrible like like terrible,negative
neutral awesome terrible bad hate good awesome neutral neutral awesome neutral bad neutral good,positive
terrible hate hate hate bad,negative
neutral awesome terrible good like awesome hate awesome,negative
good hate awesome hate neutral terrible bad hate good terrible neutral bad,negative
terrible awesome awesome bad bad like like like awesome,negative
bad neutral good awesome like bad,neutral
hate hate terrible hate like like neutral neutral like like,neutral
hate neutral awesome bad hate good bad bad neutral,positive
like awesome terrible awesome neutral like,neutral
awesome bad neutral good bad good terrible,positive
bad good neutral neutral bad like awesome like good bad good bad good,negative
bad neutral awesome neutral hate hate awesome neutral awesome like hate,positive
neutral good hate hate bad good neutral hate awesome good terrible,negative
bad bad hate neutral hate awesome hate good good hate,neutral
bad awesome hate awesome bad like good bad awesome like hate good,neutral
like bad awesome awesome like neutral neutral bad,neutral
like good like terrible terrible good neutral awesome like neutral bad neutral,positive
hate like bad good bad like awesome neutral,positive
bad hate neutral terrible good awesome hate bad good good terrible hate,neutral
awesome like terrible bad neutral hate good bad bad awesome good like terrible,negative
hate like good good neutral like bad,neutral
terrible hate good bad awesome bad neutral,neutral
hate like hate neutral hate awesome,neutral
bad good like awesome neutral like bad neutral good awesome like awesome terrible neutral,neutral
like awesome bad terrible bad terrible neutral,negative
like awesome neutral hate hate terrible hate,neutral
bad good terrible bad awesome neutral hate neutral terrible,negative
awesome good hate like terrible awesome like bad good,neutral
hate neutral hate terrible bad neutral,neutral
good like terrible hate awesome bad terrible like awesome hate terrible bad terrible neutral,negative
awesome like neutral good good terrible like good good hate,positive
bad hate good bad good awesome bad good good,neutral
like hate awesome like awesome terrible terrible like terrible neutral,positive
neutral bad terrible like good,positive
bad like awesome hate good awesome hate like good,negative
terrible like awesome hate neutral hate like good hate terrible neutral terrible good,neutral
good hate neutral good bad terrible good good like bad terrible awesome bad bad,neutral
like bad terrible like bad terrible,neutral
terrible awesome like good hate,neutral
terrible neutral like awesome like like awesome good bad hate bad terrible awesome terrible,negative
like bad terrible terrible awesome neutral neutral terrible neutral hate neutral awesome hate,neutral
awesome hate like neutral terrible bad terrible terrible bad awesome hate terrible like neutral,negative
awesome awesome awesome good like good neutral terrible good terrible bad neutral good,negative
bad bad hate neutral good hate hate like hate neutral terrible terrible terrible,neutral
terrible bad good good awesome neutral bad bad neutral neutral,neutral
bad bad neutral hate neutral good terrible awesome terrible bad like good,neutral
neutral hate awesome bad awesome,neutral
like terrible hate good terrible like neutral good like hate terrible awesome good hate,positive
hate neutral neutral hate awesome awesome hate good,positive
like like hate terrible good,neutral
hate like awesome good neutral terrible good neutral terrible terrible bad neutral,neutral
like bad bad good like,neutral
awesome awesome hate terrible terrible terrible good,positive
awesome neutral hate awesome bad bad neutral good,negative
terrible like good terrible awesome neutral good awesome terrible awesome hate like,positive
hate bad awesome terrible bad awesome awesome like terrible bad,neutral
terrible like terrible bad bad good neutral hate awesome neutral like terrible good good,neutral
awesome awesome neutral neutral bad neutral neutral terrible like good hate,negative
bad neutral terrible hate hate awesome terrible bad awesome good hate bad,positive
like neutral bad hate like hate,positive
good like good bad terrible bad hate hate hate neutral good neutral like hate,positive
neutral awesome awesome good neutral bad like terrible bad bad terrible terrible,negative
terrible awesome terrible like bad like like,neutral
good awesome terrible like terrible good neutral bad good neutral bad,neutral
terrible neutral good awesome like good good,negative
like neutral like hate like neutral hate good good neutral hate,neutral
awesome bad awesome terrible like good,negative
awesome hate terrible terrible good bad bad terrible awesome terrible like good good bad,neutral
neutral neutral awesome awesome like bad good neutral like neutral,negative
like neutral bad terrible neutral hate good,neutral
neutral awesome hate good terrible neutral bad,positive
neutral awesome like bad good like awesome terrible like terrible hate like like,positive
awesome bad terrible bad awesome neutral terrible neutral awesome terrible bad,positive
like bad terrible terrible like hate bad hate bad,negative
like like terrible bad awesome hate bad like terrible bad neutral good terrible terrible,neutral
good bad neutral hate bad like good hate neutral awesome awesome,negative
awesome like hate like like neutral bad hate bad good bad bad good,neutral
terrible neutral terrible terrible terrible,positive
terrible bad bad like good neutral good like hate awesome bad,neutral
hate terrible awesome like like neutral bad hate awesome awesome,negative
bad bad bad bad good awesome hate good neutral awesome bad like like bad,positive
good bad awesome hate terrible awesome like neutral hate awesome bad awesome awesome,positive
terrible like hate awesome like,negative
awesome terrible like terrible terrible terrible terrible like,neutral
hate good terrible good awesome awesome hate good bad terrible terrible awesome like,positive
terrible awesome terrible hate like good bad neutral,negative
awesome neutral hate hate neutral awesome bad awesome neutral terrible good like terrible bad,negative
hate like awesome good like terrible good,positive
hate terrible like terrible bad awesome awesome neutral awesome good bad awesome terrible,neutral
bad awesome good neutral neutral like,neutral
like hate bad like like good good good,neutral
awesome like neutral good terrible like awesome like hate terrible,neutral
bad awesome terrible awesome good hate,positive
neutral terrible hate like hate bad bad hate bad bad hate like,positive
awesome neutral neutral like hate awesome neutral like bad good bad bad,positive
terrible hate neutral good awesome,negative
hate awesome terrible hate good terrible awesome,positive
bad terrible like awesome awesome awesome awesome good terrible terrible good bad terrible neutral,neutral
like terrible hate hate bad good bad bad good like neutral good bad,positive
like terrible hate terrible neutral neutral good good good,negative
bad bad like neutral terrible like like like terrible terrible,neutral
bad awesome like terrible neutral good good hate,negative
neutral neutral awesome hate good hate awesome hate terrible good neutral awesome bad good,neutral
hate neutral neutral terrible awesome terrible,positive
like bad terrible good good terrible like like terrible good awesome like,neutral
terrible hate like neutral awesome terrible hate neutral neutral terrible,neutral
terrible neutral bad terrible terrible awesome terrible like like,negative
awesome hate bad terrible bad like neutral bad good good good awesome like,positive
like hate bad hate terrible,negative
awesome good neutral neutral terrible hate like bad good,neutral
bad like neutral neutral hate good neutral neutral terrible terrible,negative
hate good good like neutral neutral awesome like terrible,neutral
good hate bad bad neutral hate neutral like awesome awesome,positive
like bad awesome bad like awesome hate terrible neutral awesome,negative
like good hate terrible neutral terrible like like neutral terrible terrible,positive
bad terrible like neutral hate hate neutral good,positive
neutral hate good neutral awesome like terrible hate bad terrible terrible awesome,positive
terrible good hate hate hate neutral like hate neutral like good,negative
awesome good awesome bad neutral awesome hate neutral bad terrible neutral bad good,negative
hate good hate bad good awesome terrible good hate awesome terrible,positive
bad neutral awesome like hate terrible neutral,negative
bad hate hate good hate terrible like,positive
bad like good awesome awesome like hate terrible good good neutral good,neutral
hate terrible hate good neutral awesome good good terrible,neutral
like neutral good terrible hate neutral like bad,negative
bad bad neutral neutral terrible neutral hate awesome like good neutral bad,positive
neutral good good terrible terrible terrible good bad terrible neutral,neutral
neutral neutral bad like hate neutral,neutral
bad bad good neutral terrible neutral terrible awesome,positive
bad good awesome like good good awesome good,positive
awesome awesome bad like terrible terrible like hate like like,negative
terrible neutral neutral neutral hate bad like hate like hate,neutral
good hate hate awesome terrible,positive
good hate hate like awesome good awesome neutral like like like hate,negative
awesome bad bad bad hate terrible neutral neutral awesome bad,neutral
like neutral hate hate neutral awesome awesome,positive
good awesome good neutral awesome awesome hate bad neutral hate neutral terrible terrible,positive
terrible good awesome hate like hate,positive
neutral terrible like good hate neutral terrible awesome awesome terrible awesome bad,neutral
bad terrible bad awesome awesome good neutral bad hate like terrible awesome hate awesome,neutral
hate neutral terrible like bad bad like,neutral
good like like terrible hate awesome good terrible terrible,negative
neutral terrible good hate awesome bad neutral awesome good terrible,positive
like hate terrible hate hate awesome neutral awesome like like good good bad hate,positive
terrible hate like hate good hate bad like bad awesome,neutral
neutral awesome terrible terrible awesome bad bad like,negative
neutral terrible hate like neutral awesome like,negative
good terrible good terrible terrible awesome hate bad,negative
good neutral terrible good good,neutral
terrible hate neutral good hate neutral hate good,positive
awesome like terrible awesome like,negative
like awesome awesome awesome awesome,neutral
bad like bad awesome bad bad terrible awesome hate neutral hate awesome bad neutral,neutral
bad bad good good like good bad like awesome like,negative
bad good bad like hate awesome hate awesome hate,neutral
terrible awesome terrible bad awesome terrible awesome terrible,negative
awesome neutral bad bad awesome terrible good,neutral
awesome hate like bad like,neutral
neutral awesome terrible terrible neutral good good terrible awesome like,negative
good terrible awesome like good bad,neutral
like terrible hate hate hate neutral awesome terrible good terrible terrible good,positive
awesome like like like like good like like terrible hate terrible neutral terrible good,negative
terrible hate good awesome awesome terrible awesome terrible like,negative
awesome neutral hate neutral neutral bad good like terrible like neutral,neutral
hate terrible neutral good like awesome terrible bad terrible good like neutral hate like,neutral
good neutral awesome good bad terrible,positive
hate hate neutral neutral bad terrible neutral neutral hate neutral good like,positive
terrible bad terrible like bad like,negative
neutral hate bad neutral hate like bad awesome,positive
hate terrible hate good neutral,positive
bad terrible hate bad hate awesome hate awesome hate,negative
bad like awesome like like bad bad terrible like hate neutral good like,negative
hate hate good good bad,negative
awesome awesome neutral awesome like hate terrible bad awesome like like awesome awesome,negative
bad terrible hate awesome good neutral hate awesome awesome like neutral terrible,neutral
good good terrible like neutral hate awesome terrible like hate,negative
neutral neutral neutral hate good neutral like terrible awesome awesome hate,neutral
like bad like like terrible hate bad,neutral
neutral like like bad neutral,neutral
good like good hate good good awesome good terrible,positive
like awesome neutral bad like neutral,negative
bad good good terrible good good terrible like hate,positive
terrible like good like good good hate terrible bad awesome like hate,neutral
terrible hate bad good like bad neutral neutral awesome like good like awesome,negative
hate awesome like like hate hate,negative
neutral bad hate good neutral hate good,negative
awesome neutral good neutral hate neutral bad,negative
good awesome bad terrible awesome,positive
like awesome good bad terrible hate awesome bad terrible like good awesome,neutral
neutral good good good good terrible like neutral hate awesome,positive
awesome bad like like good good like awesome neutral bad like neutral,negative
terrible good terrible like hate awesome awesome awesome awesome hate like hate hate,positive
terrible bad good awesome like hate hate awesome good,neutral
terrible neutral neutral like neutral awesome good,neutral
like good neutral terrible hate neutral good hate awesome,negative
like bad bad terrible good awesome like bad neutral,neutral
awesome good like like neutral awesome good like awesome,neutral
bad bad good bad good like terrible,positive
awesome awesome good hate terrible like neutral awesome terrible hate hate awesome good good,negative
good neutral hate like good awesome good bad,neutral
like terrible awesome like hate hate terrible bad like terrible bad good good,neutral
bad awesome like good awesome terrible good bad like like bad good bad like,positive
neutral hate hate good awesome terrible bad hate terrible good hate hate good,positive
awesome terrible hate terrible bad good,positive
awesome neutral hate hate like like awesome neutral good like terrible terrible,positive
neutral hate hate bad hate good terrible bad neutral good good neutral,positive
hate awesome bad like neutral terrible bad awesome bad terrible good,positive
good hate hate like terrible awesome hate bad good awesome good good,positive
bad good like like terrible neutral awesome,neutral
hate hate hate awesome like bad bad bad like neutral,neutral
awesome awesome bad bad terrible,neutral
good terrible bad like awesome terrible good like hate hate neutral,negative
awesome good terrible bad bad,positive
terrible good terrible neutral hate hate terrible terrible bad awesome hate like like,positive
neutral good bad good hate,positive
like hate awesome awesome bad,positive
like good good like neutral neutral bad awesome neutral neutral terrible,negative
good good like good terrible bad,positive
hate good awesome terrible good good bad like awesome,neutral
terrible neutral awesome bad like like neutral bad hate good neutral bad,positive
bad like awesome hate bad awesome bad good awesome terrible awesome good,negative
bad bad terrible awesome bad awesome neutral,positive
awesome like bad like neutral neutral bad neutral bad good like,neutral
good neutral bad good hate awesome awesome,negative
bad hate neutral bad neutral terrible bad hate hate like,neutral
bad terrible terrible hate bad good awesome hate terrible awesome,positive
terrible awesome hate awesome neutral good like,negative
like hate bad bad neutral awesome terrible bad terrible bad terrible,positive
awesome good good awesome like hate terrible,positive
awesome terrible awesome awesome hate hate like hate good awesome awesome bad,positive
terrible hate good like like awesome bad bad neutral neutral bad like good good,negative
like neutral bad like awesome hate terrible like,neutral
good awesome awesome hate bad,neutral
awesome bad hate hate neutral like awesome like,neutral
good hate like good awesome like neutral terrible good neutral awesome,negative
like terrible terrible terrible hate bad hate like,positive
terrible neutral like good terrible like neutral good good awesome,negative
awesome terrible good neutral neutral bad like terrible like good terrible like hate,positive
bad neutral bad terrible good,neutral
awesome like hate terrible hate like bad hate like,positive
neutral neutral neutral terrible like awesome neutral good good neutral neutral,negative
awesome terrible terrible hate good,negative
like terrible like hate terrible neutral awesome terrible,negative
hate like like hate good bad awesome good good awesome,positive
neutral good good bad neutral good,neutral
bad awesome bad hate bad terrible like good neutral awesome like terrible bad awesome,negative
awesome awesome like like good neutral bad good good,positive
hate terrible like neutral awesome terrible neutral like like hate neutral awesome terrible like,neutral
terrible hate terrible awesome awesome,negative
terrible bad hate neutral bad hate neutral bad awesome neutral,negative
hate hate good bad neutral neutral awesome bad terrible bad,neutral
terrible neutral bad bad hate like like like,positive
bad bad good good neutral terrible bad awesome neutral neutral bad bad,neutral
like good like neutral neutral bad neutral awesome,neutral
bad terrible neutral good good awesome awesome hate bad awesome neutral bad,positive
like terrible terrible neutral like like neutral awesome neutral hate terrible like,positive
hate terrible like awesome neutral like good like awesome,positive
bad like terrible good neutral good awesome terrible,positive
awesome neutral good neutral good terrible,neutral
bad terrible terrible bad hate hate neutral,positive
good good terrible hate awesome like like,positive
terrible awesome bad awesome neutral terrible terrible terrible,positive
like neutral awesome bad like hate awesome neutral,negative
neutral good neutral neutral neutral neutral awesome hate terrible good bad like awesome like,negative
hate awesome neutral bad hate like awesome like awesome,positive
hate terrible terrible good bad bad neutral awesome,neutral
neutral good terrible hate awesome good good awesome like neutral awesome bad terrible awesome,neutral
terrible hate bad bad bad hate awesome neutral terrible awesome good hate,negative
hate terrible neutral awesome terrible like awesome bad good hate,positive
bad neutral neutral like hate like awesome good like like,negative
awesome bad awesome like like bad good good hate neutral awesome good,neutral
like neutral terrible awesome terrible awesome hate neutral like like awesome,neutral
hate good neutral terrible like terrible good hate neutral bad terrible good bad neutral,negative
like bad neutral bad good neutral neutral awesome like neutral good neutral neutral terrible,neutral
good terrible bad hate like bad hate good terrible hate bad terrible,negative
hate neutral hate hate like hate,negative
neutral like like like neutral good terrible terrible neutral hate bad good bad,neutral
